,rpm,cm,V,mA,,,,,,,,,,,,,
time,rpm,waveheight,voltage,current,power,,,,,,,,,,,,
2026-08-14T19:00:00+05:30,0,93.20,1.466,9.60,0.0140736,,,,,,,,,,,,
2026-08-14T19:00:01+05:30,0,89.79,1.370,8.97,0.0122889,,,,,,,,,,,,
2026-08-14T19:00:02+05:30,0,104.32,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:03+05:30,0.7,83.03,4.494,29.42,0.13221348,,,,,,,,,,,,
2026-08-14T19:00:04+05:30,0,84.36,3.316,21.71,0.07199036,,,,,,,,,,,,
2026-08-14T19:00:05+05:30,1,77.60,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:06+05:30,0,74.65,2.010,13.16,0.0264516,,,,,,,,,,,,
2026-08-14T19:00:07+05:30,0,80.46,1.824,11.94,0.02177856,,,,,,,,,,,,
2026-08-14T19:00:08+05:30,1.9,64.96,1.673,10.95,0.01831935,,,,,,,,,,,,
2026-08-14T19:00:09+05:30,3.8,69.14,1.545,10.11,0.01561995,,,,,,,,,,,,
2026-08-14T19:00:10+05:30,4.4,91.61,7.405,48.47,0.35892035,,,,,,,,,,,,
2026-08-14T19:00:11+05:30,0,103.92,4.376,28.64,0.12532864,,,,,,,,,,,,
2026-08-14T19:00:12+05:30,0,99.67,3.332,21.81,0.07267092,,,,,,,,,,,,
2026-08-14T19:00:13+05:30,0,89.59,2.794,18.29,0.05110226,,,,,,,,,,,,
2026-08-14T19:00:14+05:30,0.3,93.37,2.388,15.63,0.03732444,,,,,,,,,,,,
2026-08-14T19:00:15+05:30,1.4,92.19,2.119,13.87,0.02939053,,,,,,,,,,,,
2026-08-14T19:00:16+05:30,0.1,70.43,1.915,12.54,0.0240141,,,,,,,,,,,,
2026-08-14T19:00:17+05:30,0,71.31,1.750,11.46,0.020055,,,,,,,,,,,,
2026-08-14T19:00:18+05:30,0,72.20,1.574,10.30,0.0162122,,,,,,,,,,,,
2026-08-14T19:00:19+05:30,3.9,74.39,1.446,9.47,0.01369362,,,,,,,,,,,,
2026-08-14T19:00:20+05:30,0,88.86,1.367,8.95,0.01223465,,,,,,,,,,,,
2026-08-14T19:00:21+05:30,0,91.03,1.289,8.44,0.01087916,,,,,,,,,,,,
2026-08-14T19:00:22+05:30,0.1,72.90,1.222,8.00,0.009776,,,,,,,,,,,,
2026-08-14T19:00:23+05:30,4.4,85.11,1.163,7.61,0.00885043,,,,,,,,,,,,
2026-08-14T19:00:24+05:30,0,97.73,1.111,7.27,0.00807697,,,,,,,,,,,,
2026-08-14T19:00:25+05:30,0,95.73,1.065,6.97,0.00742305,,,,,,,,,,,,
2026-08-14T19:00:26+05:30,0,91.25,1.025,6.71,0.00687775,,,,,,,,,,,,
2026-08-14T19:00:27+05:30,0,85.76,0.990,6.48,0.0064152,,,,,,,,,,,,
2026-08-14T19:00:28+05:30,0,90.67,0.961,6.29,0.00604469,,,,,,,,,,,,
2026-08-14T19:00:29+05:30,0,77.43,0.937,6.13,0.00574381,,,,,,,,,,,,
2026-08-14T19:00:30+05:30,0,68.47,0.917,6.00,0.005502,,,,,,,,,,,,
2026-08-14T19:00:31+05:30,0,65.39,0.904,5.92,0.00535168,,,,,,,,,,,,
2026-08-14T19:00:32+05:30,0.4,75.45,0.884,5.79,0.00511836,,,,,,,,,,,,
2026-08-14T19:00:33+05:30,0,87.66,0.872,5.71,0.00497912,,,,,,,,,,,,
2026-08-14T19:00:34+05:30,4.6,89.88,0.852,5.58,0.00475416,,,,,,,,,,,,
2026-08-14T19:00:35+05:30,0,101.54,0.842,5.51,0.00463942,,,,,,,,,,,,
2026-08-14T19:00:36+05:30,0,99.62,0.820,5.37,0.0044034,,,,,,,,,,,,
2026-08-14T19:00:37+05:30,0,96.54,0.808,5.29,0.00427432,,,,,,,,,,,,
2026-08-14T19:00:38+05:30,1,74.55,0.789,5.16,0.00407124,,,,,,,,,,,,
2026-08-14T19:00:39+05:30,0,79.58,0.762,4.99,0.00380238,,,,,,,,,,,,
2026-08-14T19:00:40+05:30,0,76.17,0.761,4.98,0.00378978,,,,,,,,,,,,
2026-08-14T19:00:41+05:30,0,71.33,0.752,4.92,0.00369984,,,,,,,,,,,,
2026-08-14T19:00:42+05:30,0,68.74,0.752,4.92,0.00369984,,,,,,,,,,,,
2026-08-14T19:00:43+05:30,5.8,84.52,0.742,4.86,0.00360612,,,,,,,,,,,,
2026-08-14T19:00:44+05:30,0,98.08,0.741,4.85,0.00359385,,,,,,,,,,,,
2026-08-14T19:00:45+05:30,3.6,88.80,0.737,4.82,0.00355234,,,,,,,,,,,,
2026-08-14T19:00:46+05:30,3.4,92.04,0.734,4.80,0.0035232,,,,,,,,,,,,
2026-08-14T19:00:47+05:30,0,101.80,0.729,4.77,0.00347733,,,,,,,,,,,,
2026-08-14T19:00:48+05:30,2.3,89.85,0.725,4.75,0.00344375,,,,,,,,,,,,
2026-08-14T19:00:49+05:30,0.2,75.62,0.722,4.73,0.00341506,,,,,,,,,,,,
2026-08-14T19:00:50+05:30,0,61.82,0.720,4.71,0.0033912,,,,,,,,,,,,
2026-08-14T19:00:51+05:30,0,77.55,0.717,4.69,0.00336273,,,,,,,,,,,,
2026-08-14T19:00:52+05:30,1.4,75.47,6.480,42.42,0.2748816,,,,,,,,,,,,
2026-08-14T19:00:53+05:30,2.3,94.37,4.780,31.29,0.1495662,,,,,,,,,,,,
2026-08-14T19:00:54+05:30,2.3,92.68,4.191,27.43,0.11495913,,,,,,,,,,,,
2026-08-14T19:00:55+05:30,0,79.92,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:56+05:30,0,86.26,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:57+05:30,0,94.93,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:58+05:30,0.9,81.66,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:59+05:30,0,85.80,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:00+05:30,2.3,87.50,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:01+05:30,0,73.24,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:02+05:30,0,73.86,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:03+05:30,0,83.06,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:04+05:30,0,88.65,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:05+05:30,0,92.03,1.606,10.51,0.01687906,,,,,,,,,,,,
2026-08-14T19:01:06+05:30,0,92.56,1.491,9.76,0.01455216,,,,,,,,,,,,
2026-08-14T19:01:07+05:30,0.2,86.44,1.394,9.12,0.01271328,,,,,,,,,,,,
2026-08-14T19:01:08+05:30,2.1,86.91,1.313,8.59,0.01127867,,,,,,,,,,,,
2026-08-14T19:01:09+05:30,0,75.63,1.244,8.14,0.01012616,,,,,,,,,,,,
2026-08-14T19:01:10+05:30,0,73.42,1.185,7.76,0.0091956,,,,,,,,,,,,
2026-08-14T19:01:11+05:30,0,78.13,1.129,7.39,0.00834331,,,,,,,,,,,,
2026-08-14T19:01:12+05:30,0,84.66,1.082,7.08,0.00766056,,,,,,,,,,,,
2026-08-14T19:01:13+05:30,0,87.14,1.037,6.79,0.00704123,,,,,,,,,,,,
2026-08-14T19:01:14+05:30,0,84.11,0.998,6.53,0.00651694,,,,,,,,,,,,
2026-08-14T19:01:15+05:30,4.1,94.79,0.964,6.31,0.00608284,,,,,,,,,,,,
2026-08-14T19:01:16+05:30,1.2,99.81,0.936,6.13,0.00573768,,,,,,,,,,,,
2026-08-14T19:01:17+05:30,1,83.40,0.911,5.96,0.00542956,,,,,,,,,,,,
2026-08-14T19:01:18+05:30,2.5,83.64,0.890,5.83,0.0051887,,,,,,,,,,,,
2026-08-14T19:01:19+05:30,0,91.19,0.875,5.73,0.00501375,,,,,,,,,,,,
2026-08-14T19:01:20+05:30,0,85.22,0.852,5.58,0.00475416,,,,,,,,,,,,
2026-08-14T19:01:21+05:30,3.7,68.32,0.838,5.49,0.00460062,,,,,,,,,,,,
2026-08-14T19:01:22+05:30,0,57.52,0.813,5.32,0.00432516,,,,,,,,,,,,
2026-08-14T19:01:23+05:30,0.3,72.11,0.779,5.10,0.0039729,,,,,,,,,,,,
2026-08-14T19:01:24+05:30,1.2,86.51,0.783,5.13,0.00401679,,,,,,,,,,,,
2026-08-14T19:01:25+05:30,0.2,102.82,3.349,21.92,0.07341008,,,,,,,,,,,,
2026-08-14T19:01:26+05:30,0,105.70,2.558,16.74,0.04282092,,,,,,,,,,,,
2026-08-14T19:01:27+05:30,0,89.28,2.193,14.36,0.03149148,,,,,,,,,,,,
2026-08-14T19:01:28+05:30,0,96.31,1.949,12.76,0.02486924,,,,,,,,,,,,
2026-08-14T19:01:29+05:30,0,94.41,1.765,11.55,0.02038575,,,,,,,,,,,,
2026-08-14T19:01:30+05:30,3.9,77.81,1.616,10.58,0.01709728,,,,,,,,,,,,
2026-08-14T19:01:31+05:30,0,52.84,1.491,9.76,0.01455216,,,,,,,,,,,,
2026-08-14T19:01:32+05:30,0,64.79,1.383,9.05,0.01251615,,,,,,,,,,,,
2026-08-14T19:01:33+05:30,0,77.50,1.287,8.42,0.01083654,,,,,,,,,,,,
2026-08-14T19:01:34+05:30,2.4,83.23,1.205,7.89,0.00950745,,,,,,,,,,,,
2026-08-14T19:01:35+05:30,0,101.69,1.134,7.42,0.00841428,,,,,,,,,,,,
2026-08-14T19:01:36+05:30,6.1,94.42,1.074,7.03,0.00755022,,,,,,,,,,,,
2026-08-14T19:01:37+05:30,0,98.65,1.022,6.69,0.00683718,,,,,,,,,,,,
2026-08-14T19:01:38+05:30,0,102.12,0.976,6.39,0.00623664,,,,,,,,,,,,
2026-08-14T19:01:39+05:30,2.2,80.55,0.937,6.13,0.00574381,,,,,,,,,,,,
2026-08-14T19:01:40+05:30,0,76.78,0.905,5.92,0.0053576,,,,,,,,,,,,
2026-08-14T19:01:41+05:30,0,69.26,19.674,128.78,2.53361772,,,,,,,,,,,,
2026-08-14T19:01:42+05:30,0,83.86,3.517,23.02,0.08096134,,,,,,,,,,,,
2026-08-14T19:01:43+05:30,0,84.53,2.831,18.53,0.05245843,,,,,,,,,,,,
2026-08-14T19:01:44+05:30,0,68.96,2.245,14.70,0.0330015,,,,,,,,,,,,
2026-08-14T19:01:45+05:30,0,70.04,1.996,13.07,0.02608772,,,,,,,,,,,,
2026-08-14T19:01:46+05:30,8.2,88.62,1.804,11.81,0.02130524,,,,,,,,,,,,
2026-08-14T19:01:47+05:30,0,98.43,2.765,18.10,0.0500465,,,,,,,,,,,,
2026-08-14T19:01:48+05:30,0,97.01,5.722,37.46,0.21434612,,,,,,,,,,,,
2026-08-14T19:01:49+05:30,0,93.07,3.820,25.01,0.0955382,,,,,,,,,,,,
2026-08-14T19:01:50+05:30,0.5,104.34,2.878,18.84,0.05422152,,,,,,,,,,,,
2026-08-14T19:01:51+05:30,6.2,98.90,2.430,15.91,0.0386613,,,,,,,,,,,,
2026-08-14T19:01:52+05:30,5.6,72.44,2.142,14.02,0.03003084,,,,,,,,,,,,
2026-08-14T19:01:53+05:30,0,64.57,1.930,12.63,0.0243759,,,,,,,,,,,,
2026-08-14T19:01:54+05:30,0,58.59,1.762,11.53,0.02031586,,,,,,,,,,,,
2026-08-14T19:01:55+05:30,0,69.77,3.085,20.19,0.06228615,,,,,,,,,,,,
2026-08-14T19:01:56+05:30,2.5,78.01,4.208,27.55,0.1159304,,,,,,,,,,,,
2026-08-14T19:01:57+05:30,0,82.11,3.366,22.03,0.07415298,,,,,,,,,,,,
2026-08-14T19:01:58+05:30,8.6,100.31,2.644,17.31,0.04576764,,,,,,,,,,,,
2026-08-14T19:01:59+05:30,0,110.60,2.286,14.96,0.03419856,,,,,,,,,,,,
2026-08-14T19:02:00+05:30,0,103.78,2.040,13.35,0.027234,,,,,,,,,,,,
2026-08-14T19:02:01+05:30,0,95.42,1.850,12.11,0.0224035,,,,,,,,,,,,
2026-08-14T19:02:02+05:30,3.6,84.89,1.695,11.10,0.0188145,,,,,,,,,,,,
2026-08-14T19:02:03+05:30,0.5,73.25,1.564,10.24,0.01601536,,,,,,,,,,,,
2026-08-14T19:02:04+05:30,0,69.24,1.452,9.50,0.013794,,,,,,,,,,,,
2026-08-14T19:02:05+05:30,0,71.70,1.355,8.87,0.01201885,,,,,,,,,,,,
2026-08-14T19:02:06+05:30,0,75.49,1.272,8.33,0.01059576,,,,,,,,,,,,
2026-08-14T19:02:07+05:30,0,73.48,2.881,18.86,0.05433566,,,,,,,,,,,,
2026-08-14T19:02:08+05:30,0,83.07,4.813,31.51,0.15165763,,,,,,,,,,,,
2026-08-14T19:02:09+05:30,0,88.36,8.499,55.63,0.47279937,,,,,,,,,,,,
2026-08-14T19:02:10+05:30,2.4,104.30,7.052,46.16,0.32552032,,,,,,,,,,,,
2026-08-14T19:02:11+05:30,1.2,101.95,4.409,28.86,0.12724374,,,,,,,,,,,,
2026-08-14T19:02:12+05:30,0,91.98,3.416,22.36,0.07638176,,,,,,,,,,,,
2026-08-14T19:02:13+05:30,0,91.32,2.730,17.87,0.0487851,,,,,,,,,,,,
2026-08-14T19:02:14+05:30,0,80.05,2.371,15.52,0.03679792,,,,,,,,,,,,
2026-08-14T19:02:15+05:30,0,72.38,3.804,24.90,0.0947196,,,,,,,,,,,,
2026-08-14T19:02:16+05:30,0,74.06,1.925,12.60,0.024255,,,,,,,,,,,,
2026-08-14T19:02:17+05:30,0,71.14,1.765,11.55,0.02038575,,,,,,,,,,,,
2026-08-14T19:02:18+05:30,4.3,82.08,1.627,10.65,0.01732755,,,,,,,,,,,,
2026-08-14T19:02:19+05:30,0,91.11,1.510,9.88,0.0149188,,,,,,,,,,,,
2026-08-14T19:02:20+05:30,0,83.79,1.409,9.22,0.01299098,,,,,,,,,,,,
2026-08-14T19:02:21+05:30,0,80.87,9.677,63.34,0.61294118,,,,,,,,,,,,
2026-08-14T19:02:22+05:30,1.8,93.29,9.156,59.93,0.54871908,,,,,,,,,,,,
2026-08-14T19:02:23+05:30,2.3,99.18,3.905,25.56,0.0998118,,,,,,,,,,,,
2026-08-14T19:02:24+05:30,0,92.39,3.703,24.24,0.08976072,,,,,,,,,,,,
2026-08-14T19:02:25+05:30,0,77.86,2.858,18.71,0.05347318,,,,,,,,,,,,
2026-08-14T19:02:26+05:30,0,83.61,2.646,17.32,0.04582872,,,,,,,,,,,,
2026-08-14T19:02:27+05:30,0,91.57,2.324,15.21,0.03534804,,,,,,,,,,,,
2026-08-14T19:02:28+05:30,1.9,81.72,2.092,13.69,0.02863948,,,,,,,,,,,,
2026-08-14T19:02:29+05:30,3.1,69.78,1.907,12.48,0.02379936,,,,,,,,,,,,
2026-08-14T19:02:30+05:30,0,65.67,1.754,11.48,0.02013592,,,,,,,,,,,,
2026-08-14T19:02:31+05:30,1.8,83.58,1.622,10.62,0.01722564,,,,,,,,,,,,
2026-08-14T19:02:32+05:30,0,98.84,1.474,9.65,0.0142241,,,,,,,,,,,,
2026-08-14T19:02:33+05:30,0.5,94.71,1.382,9.05,0.0125071,,,,,,,,,,,,
2026-08-14T19:02:34+05:30,0,82.65,1.303,8.53,0.01111459,,,,,,,,,,,,
2026-08-14T19:02:35+05:30,0,79.82,1.239,8.11,0.01004829,,,,,,,,,,,,
2026-08-14T19:02:36+05:30,0.2,93.29,1.178,7.71,0.00908238,,,,,,,,,,,,
2026-08-14T19:02:37+05:30,0,93.16,1.222,8.00,0.009776,,,,,,,,,,,,
2026-08-14T19:02:38+05:30,4.3,81.75,4.948,32.39,0.16026572,,,,,,,,,,,,
2026-08-14T19:02:39+05:30,0,78.24,6.379,41.76,0.26638704,,,,,,,,,,,,
2026-08-14T19:02:40+05:30,0,77.74,5.773,37.79,0.21816167,,,,,,,,,,,,
2026-08-14T19:02:41+05:30,0,91.51,3.820,25.01,0.0955382,,,,,,,,,,,,
2026-08-14T19:02:42+05:30,0,93.06,2.799,18.32,0.05127768,,,,,,,,,,,,
2026-08-14T19:02:43+05:30,7.2,84.54,2.588,16.94,0.04384072,,,,,,,,,,,,
2026-08-14T19:02:44+05:30,0,67.44,5.133,33.60,0.1724688,,,,,,,,,,,,
2026-08-14T19:02:45+05:30,4.2,78.43,7.153,46.82,0.33490346,,,,,,,,,,,,
2026-08-14T19:02:46+05:30,0,101.45,6.648,43.52,0.28932096,,,,,,,,,,,,
2026-08-14T19:02:47+05:30,1,86.21,4.460,29.19,0.1301874,,,,,,,,,,,,
2026-08-14T19:02:48+05:30,1.1,70.02,3.602,23.58,0.08493516,,,,,,,,,,,,
2026-08-14T19:02:49+05:30,4.8,79.51,2.757,18.05,0.04976385,,,,,,,,,,,,
2026-08-14T19:02:50+05:30,0,93.69,2.652,17.36,0.04603872,,,,,,,,,,,,
2026-08-14T19:02:51+05:30,0,96.01,2.346,15.36,0.03603456,,,,,,,,,,,,
2026-08-14T19:02:52+05:30,0,96.59,4.813,31.51,0.15165763,,,,,,,,,,,,
2026-08-14T19:02:53+05:30,3.8,78.90,6.631,43.41,0.28785171,,,,,,,,,,,,
2026-08-14T19:02:54+05:30,1.5,80.59,7.893,51.67,0.40783131,,,,,,,,,,,,
2026-08-14T19:02:55+05:30,0.2,90.57,5.924,38.78,0.22973272,,,,,,,,,,,,
2026-08-14T19:02:56+05:30,0,79.18,4.241,27.76,0.11773016,,,,,,,,,,,,
2026-08-14T19:02:57+05:30,0,75.97,3.450,22.58,0.077901,,,,,,,,,,,,
2026-08-14T19:02:58+05:30,0,72.80,2.875,18.82,0.0541075,,,,,,,,,,,,
2026-08-14T19:02:59+05:30,1.3,83.76,6.597,43.18,0.28485846,,,,,,,,,,,,
2026-08-14T19:03:00+05:30,0,95.44,14.255,93.31,1.33013405,,,,,,,,,,,,
2026-08-14T19:03:01+05:30,3.3,93.78,13.464,88.13,1.18658232,,,,,,,,,,,,
2026-08-14T19:03:02+05:30,0,84.09,7.254,47.48,0.34441992,,,,,,,,,,,,
2026-08-14T19:03:03+05:30,4.4,91.82,4.780,31.29,0.1495662,,,,,,,,,,,,
2026-08-14T19:03:04+05:30,0,99.79,7.792,51.01,0.39746992,,,,,,,,,,,,
2026-08-14T19:03:05+05:30,0,82.66,9.980,65.33,0.6519934,,,,,,,,,,,,
2026-08-14T19:03:06+05:30,0,71.30,8.903,58.28,0.51886684,,,,,,,,,,,,
2026-08-14T19:03:07+05:30,0,69.15,4.208,27.55,0.1159304,,,,,,,,,,,,
2026-08-14T19:03:08+05:30,0,84.62,4.140,27.10,0.112194,,,,,,,,,,,,
2026-08-14T19:03:09+05:30,0,78.16,3.282,21.48,0.07049736,,,,,,,,,,,,
2026-08-14T19:03:10+05:30,0.9,83.55,2.901,18.99,0.05508999,,,,,,,,,,,,
2026-08-14T19:03:11+05:30,0,93.94,2.563,16.78,0.04300714,,,,,,,,,,,,
2026-08-14T19:03:12+05:30,5.3,97.47,2.309,15.11,0.03488899,,,,,,,,,,,,
2026-08-14T19:03:13+05:30,1.8,105.39,2.116,13.85,0.0293066,,,,,,,,,,,,
2026-08-14T19:03:14+05:30,1.8,85.78,5.840,38.23,0.2232632,,,,,,,,,,,,
2026-08-14T19:03:15+05:30,0,78.98,9.980,65.33,0.6519934,,,,,,,,,,,,
2026-08-14T19:03:16+05:30,0,79.62,7.085,46.38,0.3286023,,,,,,,,,,,,
2026-08-14T19:03:17+05:30,0,71.87,4.729,30.96,0.14640984,,,,,,,,,,,,
2026-08-14T19:03:18+05:30,4.9,80.28,6.227,40.76,0.25381252,,,,,,,,,,,,
2026-08-14T19:03:19+05:30,1.8,83.38,5.790,37.90,0.219441,,,,,,,,,,,,
2026-08-14T19:03:20+05:30,0,73.82,7.489,49.02,0.36711078,,,,,,,,,,,,
2026-08-14T19:03:21+05:30,0,75.70,16.308,106.75,1.740879,,,,,,,,,,,,
2026-08-14T19:03:22+05:30,2.2,88.61,12.471,81.63,1.01800773,,,,,,,,,,,,
2026-08-14T19:03:23+05:30,0.3,99.58,12.202,79.87,0.97457374,,,,,,,,,,,,
2026-08-14T19:03:24+05:30,0,99.47,4.847,31.73,0.15379531,,,,,,,,,,,,
2026-08-14T19:03:25+05:30,0,88.28,3.972,26.00,0.103272,,,,,,,,,,,,
2026-08-14T19:03:26+05:30,0,86.42,5.015,32.83,0.16464245,,,,,,,,,,,,
2026-08-14T19:03:27+05:30,0,94.78,4.073,26.66,0.10858618,,,,,,,,,,,,
2026-08-14T19:03:28+05:30,6.8,86.80,3.501,22.92,0.08024292,,,,,,,,,,,,
2026-08-14T19:03:29+05:30,0.6,62.79,3.398,22.24,0.07557152,,,,,,,,,,,,
2026-08-14T19:03:30+05:30,0,64.16,5.453,35.69,0.19461757,,,,,,,,,,,,
2026-08-14T19:03:31+05:30,3.6,84.97,7.792,51.01,0.39746992,,,,,,,,,,,,
2026-08-14T19:03:32+05:30,0,91.07,9.576,62.68,0.60022368,,,,,,,,,,,,
2026-08-14T19:03:33+05:30,0,94.64,7.001,45.83,0.32085583,,,,,,,,,,,,
2026-08-14T19:03:34+05:30,3.1,87.17,6.109,39.99,0.24429891,,,,,,,,,,,,
2026-08-14T19:03:35+05:30,0,80.05,7.523,49.24,0.37043252,,,,,,,,,,,,
2026-08-14T19:03:36+05:30,0,85.65,10.266,67.20,0.6898752,,,,,,,,,,,,
2026-08-14T19:03:37+05:30,0.7,88.41,17.284,113.14,1.95551176,,,,,,,,,,,,
2026-08-14T19:03:38+05:30,0,95.44,11.529,75.47,0.87009363,,,,,,,,,,,,
2026-08-14T19:03:39+05:30,1.7,79.16,6.463,42.31,0.27344953,,,,,,,,,,,,
2026-08-14T19:03:40+05:30,0,69.91,4.662,30.52,0.14228424,,,,,,,,,,,,
2026-08-14T19:03:41+05:30,3.3,79.68,3.921,25.67,0.10065207,,,,,,,,,,,,
2026-08-14T19:03:42+05:30,0.3,101.79,3.416,22.36,0.07638176,,,,,,,,,,,,
2026-08-14T19:03:43+05:30,8.2,97.83,2.908,19.04,0.05536832,,,,,,,,,,,,
2026-08-14T19:03:44+05:30,0.1,72.88,2.644,17.31,0.04576764,,,,,,,,,,,,
2026-08-14T19:03:45+05:30,6.5,82.25,2.410,15.78,0.0380298,,,,,,,,,,,,
2026-08-14T19:03:46+05:30,0,96.01,2.213,14.49,0.03206637,,,,,,,,,,,,
2026-08-14T19:03:47+05:30,0,91.92,2.047,13.40,0.0274298,,,,,,,,,,,,
2026-08-14T19:03:48+05:30,4.3,75.54,1.774,11.61,0.02059614,,,,,,,,,,,,
2026-08-14T19:03:49+05:30,0,58.05,1.639,10.73,0.01758647,,,,,,,,,,,,
2026-08-14T19:03:50+05:30,7.6,84.98,1.562,10.22,0.01596364,,,,,,,,,,,,
2026-08-14T19:03:51+05:30,0,100.52,1.471,9.63,0.01416573,,,,,,,,,,,,
2026-08-14T19:03:52+05:30,3.4,96.34,1.394,9.12,0.01271328,,,,,,,,,,,,
2026-08-14T19:03:53+05:30,0.8,78.28,1.333,8.73,0.01163709,,,,,,,,,,,,
2026-08-14T19:03:54+05:30,0,68.43,1.286,8.42,0.01082812,,,,,,,,,,,,
2026-08-14T19:03:55+05:30,7.3,94.34,1.249,8.18,0.01021682,,,,,,,,,,,,
2026-08-14T19:03:56+05:30,0,104.95,1.227,8.03,0.00985281,,,,,,,,,,,,
2026-08-14T19:03:57+05:30,6.1,83.42,1.185,7.76,0.0091956,,,,,,,,,,,,
2026-08-14T19:03:58+05:30,0,70.58,1.155,7.56,0.0087318,,,,,,,,,,,,
2026-08-14T19:03:59+05:30,4.8,86.82,8.465,55.41,0.46904565,,,,,,,,,,,,
2026-08-14T19:04:00+05:30,0,97.16,9.761,63.89,0.62363029,,,,,,,,,,,,
2026-08-14T19:04:01+05:30,12.3,83.50,16.493,107.96,1.78058428,,,,,,,,,,,,
2026-08-14T19:04:02+05:30,0.5,76.81,15.197,99.48,1.51179756,,,,,,,,,,,,
2026-08-14T19:04:03+05:30,0,86.40,8.163,53.43,0.43614909,,,,,,,,,,,,
2026-08-14T19:04:04+05:30,0,88.93,8.785,57.51,0.50522535,,,,,,,,,,,,
2026-08-14T19:04:05+05:30,0,71.96,11.848,77.56,0.91893088,,,,,,,,,,,,
2026-08-14T19:04:06+05:30,0.4,64.36,12.471,81.63,1.01800773,,,,,,,,,,,,
2026-08-14T19:04:07+05:30,3.6,85.27,8.600,56.29,0.484094,,,,,,,,,,,,
2026-08-14T19:04:08+05:30,0,96.13,5.503,36.02,0.19821806,,,,,,,,,,,,
2026-08-14T19:04:09+05:30,0,98.38,4.224,27.65,0.1167936,,,,,,,,,,,,
2026-08-14T19:04:10+05:30,0,94.52,3.719,24.34,0.09052046,,,,,,,,,,,,
2026-08-14T19:04:11+05:30,0,96.06,5.150,33.71,0.1736065,,,,,,,,,,,,
2026-08-14T19:04:12+05:30,0,95.74,11.192,73.26,0.81992592,,,,,,,,,,,,
2026-08-14T19:04:13+05:30,0.6,85.36,19.556,128.01,2.50336356,,,,,,,,,,,,
2026-08-14T19:04:14+05:30,0,77.64,18.850,123.39,2.3259015,,,,,,,,,,,,
2026-08-14T19:04:15+05:30,0,73.37,10.519,68.86,0.72433834,,,,,,,,,,,,
2026-08-14T19:04:16+05:30,5.1,58.00,5.689,37.24,0.21185836,,,,,,,,,,,,
2026-08-14T19:04:17+05:30,6.4,61.56,4.376,28.64,0.12532864,,,,,,,,,,,,
2026-08-14T19:04:18+05:30,2.5,85.10,3.366,22.03,0.07415298,,,,,,,,,,,,
2026-08-14T19:04:19+05:30,1.9,98.53,3.070,20.10,0.061707,,,,,,,,,,,,
2026-08-14T19:04:20+05:30,0,108.37,2.770,18.13,0.0502201,,,,,,,,,,,,
2026-08-14T19:04:21+05:30,1.7,104.90,4.409,28.86,0.12724374,,,,,,,,,,,,
2026-08-14T19:04:22+05:30,2.6,107.28,3.719,24.34,0.09052046,,,,,,,,,,,,
2026-08-14T19:04:23+05:30,2,88.51,3.366,22.03,0.07415298,,,,,,,,,,,,
2026-08-14T19:04:24+05:30,0.3,75.01,2.903,19.00,0.055157,,,,,,,,,,,,
2026-08-14T19:04:25+05:30,0,59.27,8.348,54.65,0.4562182,,,,,,,,,,,,
2026-08-14T19:04:26+05:30,0,64.10,7.203,47.15,0.33962145,,,,,,,,,,,,
2026-08-14T19:04:27+05:30,0,77.36,9.055,59.27,0.53668985,,,,,,,,,,,,
2026-08-14T19:04:28+05:30,0,72.99,12.757,83.51,1.06533707,,,,,,,,,,,,
2026-08-14T19:04:29+05:30,2.2,81.88,11.360,74.36,0.8447296,,,,,,,,,,,,
2026-08-14T19:04:30+05:30,2.1,103.20,6.547,42.86,0.28060442,,,,,,,,,,,,
2026-08-14T19:04:31+05:30,2.2,119.24,4.763,31.18,0.14851034,,,,,,,,,,,,
2026-08-14T19:04:32+05:30,6.7,106.16,5.402,35.36,0.19101472,,,,,,,,,,,,
2026-08-14T19:04:33+05:30,5.1,77.25,8.836,57.84,0.51107424,,,,,,,,,,,,
2026-08-14T19:04:34+05:30,2.1,77.59,7.876,51.56,0.40608656,,,,,,,,,,,,
2026-08-14T19:04:35+05:30,0,85.82,5.268,34.48,0.18164064,,,,,,,,,,,,
2026-08-14T19:04:36+05:30,3.4,75.37,4.258,27.87,0.11867046,,,,,,,,,,,,
2026-08-14T19:04:37+05:30,0,62.28,3.703,24.24,0.08976072,,,,,,,,,,,,
2026-08-14T19:04:38+05:30,3.2,71.29,2.895,18.95,0.05486025,,,,,,,,,,,,
2026-08-14T19:04:39+05:30,0.8,86.19,3.299,21.59,0.07122541,,,,,,,,,,,,
2026-08-14T19:04:40+05:30,0,101.57,6.278,41.10,0.2580258,,,,,,,,,,,,
