timestamp_s,reading_value,raw_text,unit,confidence,status,interpolated_value
106.0,1.618,1.618,uA,0.401,OK,1.743
107.0,,1.6-8,uA,0.363,OK,1.743
108.0,1.868,1.868,uA,0.284,OK,1.768
109.0,,1.6-8,uA,0.369,OK,1.768
110.0,1.668,1.668,uA,0.289,OK,1.768
111.0,6.68,6.68,uA,0.309,OK,6.68
112.0,,1.6-8,uA,0.379,OK,11.68
113.0,16.68,16.68,uA,0.276,OK,11.68
114.0,1.62,1.620,uA,0.344,OK,4.053333333333333
115.0,,5.-8,uA,0.464,OK,4.053333333333333
116.0,,16.-8,uA,0.41,OK,6.486666666666666
117.0,,5.-8,uA,0.458,OK,8.92
118.0,,16.-8,uA,0.404,OK,11.353333333333332
119.0,,16.-8,uA,0.355,OK,13.786666666666665
120.0,16.22,16.22,uA,0.274,OK,13.786666666666665
121.0,1.608,1.608,uA,0.292,OK,16.22
122.0,16.28,16.28,uA,0.278,OK,6.28
123.0,6.28,6.28,uA,0.303,OK,6.28
124.0,6.08,6.08,uA,0.358,OK,6.28
125.0,9.18,9.18,uA,0.392,OK,6.28
126.0,6.28,6.28,uA,0.406,OK,6.28
127.0,0.038,0.038,uA,0.27,OK,0.208
128.0,0.208,0.208,uA,0.153,LOW_CONFIDENCE,0.208
129.0,0.208,0.208,uA,0.187,LOW_CONFIDENCE,0.208
130.0,3.622,3.622,uA,0.252,OK,3.622
131.0,4.668,4.668,uA,0.295,OK,4.668
132.0,5.326,5.326,uA,0.341,OK,4.668
133.0,2.22,2.22,uA,0.271,OK,2.454
134.0,,9.-26,uA,0.357,OK,2.454
135.0,2.688,2.688,uA,0.312,OK,2.688
136.0,6.682,6.682,uA,0.238,OK,6.682
137.0,6.682,6.682,uA,0.283,OK,6.682
138.0,3.628,3.628,uA,0.313,OK,6.622
139.0,6.622,6.622,uA,0.228,OK,6.622
140.0,6.622,6.622,uA,0.271,OK,6.622
141.0,6.632,6.632,uA,0.332,OK,6.622
142.0,6.602,6.602,uA,0.218,OK,6.602
143.0,-0.638,-.638,uA,0.35,OK,2.628
144.0,2.628,2.628,uA,0.272,OK,-0.628
145.0,-0.628,-.628,uA,0.35,OK,2.628
146.0,6.022,6.022,uA,0.233,OK,6.022
147.0,6.86,6.86,uA,0.273,OK,6.022
148.0,1.608,1.608,uA,0.311,OK,6.86
149.0,6.88,6.88,uA,0.386,OK,6.88
150.0,8.66,8.66,uA,0.205,OK,8.26
151.0,8.26,8.26,uA,0.246,OK,8.26
152.0,268.0,268,uA,0.233,OK,6.609999999999999
153.0,4.96,4.96,uA,0.356,OK,4.96
154.0,0.6,0.6,uA,0.149,LOW_CONFIDENCE,4.845
155.0,358.0,358.,uA,0.23,OK,4.845
156.0,9.09,9.09,uA,0.307,OK,9.09
157.0,42.0,42,uA,0.251,OK,42.0
158.0,,,uA,0.0,LOW_CONFIDENCE,45.4
159.0,419.0,419,uA,0.492,OK,48.800000000000004
160.0,52.2,52.2,uA,0.281,OK,48.800000000000004
161.0,1.0,1,uA,0.561,OK,25.0
162.0,25.0,25,uA,0.178,LOW_CONFIDENCE,1.0
163.0,0.0,0,uA,0.049,LOW_CONFIDENCE,25.0
164.0,49.0,49,uA,0.427,OK,8.0
165.0,8.0,8.,uA,0.355,OK,42.0
166.0,42.0,42,uA,0.266,OK,8.0
167.0,4.2,4.2,uA,0.248,OK,4.9
168.0,4.9,4.9,uA,0.426,OK,4.545
169.0,415.0,415,uA,0.349,OK,4.545
170.0,4.19,4.19,uA,0.403,OK,4.2
171.0,4.2,4.2,uA,0.342,OK,4.19
172.0,2.06,2.06,uA,0.31,OK,4.17
173.0,4.17,4.17,uA,0.341,OK,3.08
174.0,3.08,3.08,uA,0.266,OK,3.08
175.0,,,uA,0.0,LOW_CONFIDENCE,3.0789999999999997
176.0,3.078,3.078,uA,0.258,OK,3.078
177.0,3.038,3.038,uA,0.264,OK,3.038
178.0,1.08,1.08,uA,0.31,OK,3.038
179.0,3.08,3.08,uA,0.241,OK,3.08
180.0,3.78,3.78,uA,0.44,OK,3.08
181.0,1.038,1.038,uA,0.267,OK,2.0
182.0,2.0,2,uA,0.106,LOW_CONFIDENCE,2.0
183.0,49.0,49,uA,0.366,OK,5.0
184.0,5.0,5,uA,0.063,LOW_CONFIDENCE,6.8
185.0,6.8,6.8,uA,0.265,OK,5.0
186.0,2.428,2.428,uA,0.225,OK,6.386
187.0,6.386,6.386,uA,0.29,OK,6.286
188.0,6.286,6.286,uA,0.227,OK,6.286
189.0,6.026,6.026,uA,0.201,OK,6.286
190.0,6.86,6.86,uA,0.325,OK,6.026
191.0,0.088,0.088,uA,0.25,OK,0.296
192.0,0.296,0.296,uA,0.343,OK,0.296
193.0,6.336,6.336,uA,0.298,OK,0.296
194.0,0.282,0.282,uA,0.238,OK,0.336
195.0,0.336,0.336,uA,0.265,OK,0.282
196.0,0.282,0.282,uA,0.252,OK,0.336
197.0,0.86,0.86,uA,0.271,OK,0.282
198.0,0.258,0.258,uA,0.292,OK,0.86
199.0,6.255,6.255,uA,0.311,OK,0.36
200.0,0.36,0.36,uA,0.311,OK,0.36
201.0,0.26,0.26,uA,0.263,OK,0.36
202.0,0.36,0.36,uA,0.326,OK,0.26
203.0,0.26,0.26,uA,0.309,OK,0.36
204.0,0.96,0.96,uA,0.294,OK,0.336
205.0,0.336,0.336,uA,0.234,OK,0.96
206.0,6.282,6.282,uA,0.27,OK,2.22
207.0,2.22,2.22,uA,0.255,OK,2.22
208.0,0.86,0.86,uA,0.276,OK,0.86
209.0,0.86,0.86,uA,0.27,OK,0.86
210.0,6.26,6.26,uA,0.089,LOW_CONFIDENCE,2.26
211.0,2.26,2.26,uA,0.159,LOW_CONFIDENCE,6.242
212.0,6.242,6.242,uA,0.123,LOW_CONFIDENCE,6.242
213.0,,5.-83,uA,0.341,OK,6.287
214.0,6.332,6.332,uA,0.251,OK,6.287
215.0,,,uA,0.0,LOW_CONFIDENCE,3.596
216.0,0.86,0.86,uA,0.269,OK,3.596
217.0,6.136,6.136,uA,0.226,OK,6.136
218.0,6.626,6.626,uA,0.184,LOW_CONFIDENCE,6.332
219.0,6.332,6.332,uA,0.26,OK,6.332
220.0,5.662,5.662,uA,0.298,OK,5.662
221.0,0.026,0.026,uA,0.197,LOW_CONFIDENCE,5.662
222.0,6.32,6.32,uA,0.408,OK,6.32
223.0,6.622,6.622,uA,0.227,OK,6.32
224.0,0.96,0.96,uA,0.296,OK,0.96
225.0,0.286,0.286,uA,0.233,OK,0.96
226.0,6.332,6.332,uA,0.32,OK,6.322
227.0,6.322,6.322,uA,0.314,OK,6.332
228.0,6.338,6.338,uA,0.288,OK,6.322
229.0,0.38,0.38,uA,0.285,OK,6.038
230.0,6.038,6.038,uA,0.28,OK,6.038
231.0,6.78,6.78,uA,0.348,OK,6.78
232.0,7.88,7.88,uA,0.39,OK,6.78
233.0,6.6,6.6,uA,0.333,OK,6.6
234.0,2.2,02.2,uA,0.214,OK,6.6
235.0,6.62,6.62,uA,0.332,OK,6.38
236.0,6.38,6.38,uA,0.426,OK,6.38
237.0,6.238,6.238,uA,0.206,OK,6.238
238.0,6.238,6.238,uA,0.197,LOW_CONFIDENCE,6.238
239.0,6.338,6.338,uA,0.309,OK,6.338
240.0,8.208,8.208,uA,0.332,OK,6.338
241.0,6.238,6.238,uA,0.308,OK,6.238
242.0,,,uA,0.0,LOW_CONFIDENCE,4.2595
243.0,2.281,2.281,uA,0.244,OK,2.78
244.0,2.78,2.78,uA,0.261,OK,2.281
245.0,0.8,0.8,uA,0.212,OK,2.78
246.0,,,uA,0.0,LOW_CONFIDENCE,3.519
247.0,6.238,6.238,uA,0.191,LOW_CONFIDENCE,6.238
248.0,6.638,6.638,uA,0.242,OK,6.238
249.0,2.628,2.628,uA,0.269,OK,2.628
250.0,1.038,1.038,uA,0.188,LOW_CONFIDENCE,2.628
251.0,5.08,5.08,uA,0.301,OK,5.08
252.0,6.12,6.12,uA,0.349,OK,6.12
253.0,6.38,6.38,uA,0.313,OK,6.12
254.0,0.078,0.078,uA,0.267,OK,6.18
255.0,6.18,6.18,uA,0.373,OK,6.18
256.0,10.78,10.78,uA,0.293,OK,6.18
257.0,3.278,3.278,uA,0.273,OK,3.278
258.0,0.08,0.08,uA,0.076,LOW_CONFIDENCE,0.6199999999999999
259.0,,,uA,0.664,LOW_CONFIDENCE,0.6199999999999999
260.0,,,uA,0.0,LOW_CONFIDENCE,1.16
261.0,1.7,1.70,uA,0.423,OK,1.7
262.0,5.022,5.022,uA,0.344,OK,1.7
263.0,0.278,0.278,uA,0.147,LOW_CONFIDENCE,5.022
264.0,6.208,6.208,uA,0.195,LOW_CONFIDENCE,3.218
