timestamp_s,reading_value,raw_text,confidence,status,cleaned_value
136.0,2.111,2.111,0.957,OK,6.1
137.0,6.1,6.10,0.827,OK,2.111
138.0,0.111,0.111,0.996,OK,0.111
139.0,0.101,0.101,0.786,OK,0.101
140.0,0.096,0.096,0.975,OK,0.101
141.0,0.79,0.79,0.757,OK,0.79
142.0,6.081,6.081,0.856,OK,6.0
143.0,6.0,6.0,0.835,OK,6.0
144.0,5.5,5.5,1.0,OK,5.5
145.0,1.0,1.00,0.921,OK,2.2
146.0,2.2,2.20,1.0,OK,1.0
147.0,0.666,0.666,0.853,OK,2.2
148.0,4.13,4.13,0.933,OK,1.111
149.0,1.111,1.111,0.965,OK,4.13
150.0,6.46,6.460,0.783,OK,1.111
151.0,1.1,1.100,0.856,OK,1.111
152.0,1.111,1.111,0.85,OK,1.1
153.0,0.454,0.454,0.854,OK,0.676
154.0,0.676,0.676,0.975,OK,0.62
155.0,0.62,0.620,0.886,OK,0.676
156.0,1.0,1.0,0.99,OK,1.0
157.0,3.0,3.00,0.777,OK,3.0
158.0,6.6,6.6,0.651,OK,3.0
159.0,1.69,1.69,0.874,OK,1.69
160.0,1.48,1.48,0.6,OK,1.48
161.0,0.0,0.0,0.721,OK,0.0
162.0,0.0,0,0.576,OK,0.0
163.0,1.4,1.4,0.945,OK,0.22
164.0,0.22,0.22,0.965,OK,1.02
165.0,1.02,1.020,0.821,OK,1.02
166.0,8.0,8.0,0.923,OK,1.124
167.0,1.124,1.124,0.963,OK,1.4
168.0,1.4,1.40,0.836,OK,1.142
169.0,1.142,1.142,0.96,OK,1.4
170.0,6.0,6.0,0.674,OK,1.142
171.0,0.1,0.1,0.918,OK,0.1
172.0,0.0,0.0,0.962,OK,0.1
173.0,6.02,6.02,0.978,OK,1.4
174.0,1.4,1.40,0.939,OK,1.4
175.0,1.386,1.386,0.777,OK,1.386
176.0,1.01,1.01,0.987,OK,1.02
177.0,1.02,1.02,0.831,OK,1.02
178.0,5.03,5.03,0.598,OK,4.6
179.0,4.6,4.60,0.847,OK,5.03
180.0,6.1,6.1,0.611,OK,4.6
181.0,1.08,1.08,0.905,OK,1.1
182.0,1.1,1.1,0.859,OK,1.1
183.0,4.88,4.88,0.601,OK,4.31
184.0,4.31,4.31,0.934,OK,4.88
185.0,7.55,7.55,0.906,OK,4.63
186.0,4.63,4.63,1.0,OK,5.53
187.0,5.53,5.53,0.843,OK,5.29
188.0,5.29,5.29,0.997,OK,5.29
189.0,3.2,3.20,0.963,OK,5.29
190.0,6.82,6.82,0.826,OK,3.2
191.0,1.95,1.95,0.997,OK,1.95
192.0,0.6,0.600,0.534,OK,1.523
193.0,1.523,1.523,1.0,OK,1.523
194.0,7.33,7.330,0.516,OK,5.5
195.0,5.5,5.5,0.947,OK,5.5
196.0,3.41,3.41,0.999,OK,3.41
197.0,1.4,1.400,0.759,OK,1.4
198.0,1.21,1.21,0.969,OK,1.21
199.0,0.0,0.00,0.662,OK,1.21
200.0,3.37,3.37,0.889,OK,3.37
201.0,5.55,5.55,0.907,OK,3.37
202.0,1.008,1.008,0.949,OK,5.53
203.0,5.53,5.53,0.705,OK,1.008
204.0,0.6,0.60,0.966,OK,5.25
205.0,5.25,5.25,0.873,OK,1.87
206.0,1.87,1.870,0.804,OK,3.65
207.0,3.65,3.65,0.769,OK,1.87
208.0,1.0,1.000,0.711,OK,3.65
209.0,5.55,5.55,0.779,OK,1.0
210.0,1.0,1.000,0.748,OK,1.0
211.0,0.05,0.050,0.812,OK,1.0
212.0,1.21,1.21,0.945,OK,1.21
213.0,1.502,1.502,0.923,OK,1.21
214.0,0.0,0,0.98,OK,1.502
215.0,1.506,1.506,0.852,OK,1.506
216.0,7.63,7.63,0.886,OK,4.66
217.0,4.66,4.66,0.729,OK,6.1
218.0,6.1,6.10,1.0,OK,4.66
219.0,0.87,0.87,0.71,OK,6.05
220.0,6.05,6.05,0.862,OK,1.188
221.0,1.188,1.188,0.891,OK,1.25
222.0,1.25,1.250,0.62,OK,1.23
223.0,1.23,1.230,0.75,OK,1.25
224.0,5.56,5.56,0.824,OK,1.665
225.0,1.665,1.665,0.973,OK,5.56
226.0,6.2,6.20,0.731,OK,1.86
227.0,1.86,1.86,0.858,OK,1.86
228.0,1.315,1.315,1.0,OK,1.86
229.0,2.16,2.16,1.0,OK,1.9
230.0,1.9,1.90,0.99,OK,1.9
231.0,0.02,0.02,0.79,OK,1.9
232.0,6.07,6.07,0.964,OK,0.525
233.0,0.525,0.525,0.867,OK,0.675
234.0,0.675,0.675,0.94,OK,0.675
235.0,1.864,1.864,0.935,OK,0.675
236.0,0.052,0.052,0.91,OK,1.41
237.0,1.41,1.41,0.762,OK,1.0
238.0,1.0,1.000,0.963,OK,1.41
239.0,1.69,1.69,0.981,OK,1.6
240.0,1.6,1.600,0.93,OK,1.69
241.0,5.03,5.030,0.768,OK,1.6
242.0,1.11,1.11,0.964,OK,1.56
243.0,1.56,1.560,0.995,OK,1.56
244.0,1.8,1.80,0.883,OK,1.565
245.0,1.565,1.565,0.982,OK,1.565
246.0,1.04,1.04,0.74,OK,1.565
247.0,7.44,7.44,0.891,OK,1.04
248.0,0.75,0.750,0.977,OK,1.3
249.0,1.3,1.30,0.949,OK,0.75
250.0,0.2,0.20,0.773,OK,0.55
251.0,0.55,0.55,0.971,OK,0.2
252.0,0.054,0.054,0.736,OK,0.054
253.0,0.048,0.048,0.85,OK,0.048
254.0,0.022,0.022,0.91,OK,0.048
255.0,0.55,0.55,0.996,OK,0.55
256.0,0.665,0.665,0.631,OK,0.55
257.0,0.25,0.25,0.875,OK,0.35
258.0,0.35,0.35,0.913,OK,0.35
259.0,0.742,0.742,0.816,OK,0.35
260.0,0.111,0.111,0.839,OK,0.111
261.0,0.051,0.051,0.688,OK,0.051
262.0,0.022,0.022,0.825,OK,0.051
263.0,0.26,0.26,0.896,OK,0.26
264.0,1.14,1.140,0.983,OK,1.14
265.0,2.21,2.21,1.0,OK,1.14
266.0,1.0,1,0.995,OK,1.15
267.0,1.15,1.15,0.941,OK,1.15
268.0,9.6,9.60,0.894,OK,1.15
269.0,0.0,0.00,0.956,OK,3.2
270.0,3.2,3.20,0.753,OK,0.6
271.0,0.6,0.6,0.687,OK,3.2
272.0,6.419,6.419,0.84,OK,2.4
273.0,2.4,2.4,0.749,OK,2.445
274.0,2.445,2.445,0.604,OK,2.445
275.0,6.25,6.25,0.845,OK,6.25
276.0,6.4,6.4,0.713,OK,6.25
277.0,4.95,4.95,0.89,OK,4.95
278.0,2.154,2.154,0.813,OK,4.95
279.0,6.441,6.441,0.835,OK,2.441
280.0,2.441,2.441,0.799,OK,2.441
281.0,1.6,1.60,0.9,OK,1.6
282.0,1.168,1.168,0.769,OK,1.168
283.0,0.6,0.60,0.594,OK,1.168
284.0,2.0,2,0.999,OK,1.6
285.0,1.6,1.6,0.707,OK,1.6
286.0,0.0,0,0.853,OK,1.6
287.0,7.11,7.110,0.793,OK,7.11
288.0,8.1,8.1,0.994,OK,7.11
289.0,1.74,1.74,0.659,OK,3.12
290.0,,,0.0,LOW_CONFIDENCE,3.12
291.0,4.5,4.50,0.895,OK,3.12
292.0,1.66,1.66,0.732,OK,1.66
293.0,1.15,1.15,0.628,OK,1.66
294.0,4.66,4.660,0.864,OK,3.86
295.0,3.86,3.860,0.856,OK,3.86
296.0,1.11,1.11,0.982,OK,1.11
297.0,0.0,0,0.874,OK,1.0
298.0,1.0,1,0.907,OK,1.0
299.0,4.4,4.400,0.772,OK,1.116
300.0,1.116,1.116,0.99,OK,4.4
301.0,6.66,6.660,0.809,OK,1.155
302.0,1.155,1.155,0.977,OK,1.256
303.0,1.256,1.256,0.832,OK,1.256
304.0,7.0,7,0.806,OK,6.0
305.0,6.0,6,0.469,OK,6.0
306.0,0.001,0.001,0.859,OK,6.0
307.0,8.162,8.162,0.596,OK,4.02
308.0,4.02,4.02,0.818,OK,4.02
309.0,0.022,0.022,0.828,OK,0.022
310.0,0.022,0.022,0.981,OK,0.022
311.0,0.5,0.5,0.962,OK,0.5
312.0,1.177,1.177,0.873,OK,1.1
313.0,1.1,1.10,0.85,OK,1.177
314.0,2.28,2.28,0.824,OK,1.1
315.0,0.11,0.11,0.995,OK,1.1
316.0,1.1,1.1,1.0,OK,1.1
317.0,6.11,6.11,0.991,OK,1.1
318.0,0.22,0.22,0.925,OK,0.6
319.0,0.6,0.6,0.71,OK,0.6
320.0,6.1,6.1,0.986,OK,0.6
321.0,0.02,0.02,0.968,OK,0.7
322.0,0.7,0.7,0.816,OK,0.7
323.0,0.91,0.910,0.975,OK,0.756
324.0,0.756,0.756,0.719,OK,0.756
325.0,0.72,0.72,0.837,OK,0.756
326.0,6.2,6.20,0.886,OK,1.902
327.0,1.902,1.902,0.974,OK,2.0
328.0,2.0,2,0.952,OK,1.902
329.0,0.1,0.1,0.719,OK,1.111
330.0,1.111,1.111,0.859,OK,1.111
331.0,6.13,6.13,0.926,OK,6.13
332.0,7.116,7.116,0.853,OK,6.13
333.0,0.32,0.32,0.888,OK,1.66
334.0,1.66,1.66,0.918,OK,1.66
335.0,3.0,3,0.705,OK,3.0
336.0,4.59,4.59,0.709,OK,3.0
337.0,0.0,0,0.978,OK,0.0
338.0,0.0,0.00,0.668,OK,0.0
339.0,5.55,5.55,0.997,OK,4.23
